Date,Open,High,Low,Close,Volume,SMA10,EMA10
4/10/2001,22.0,22.0,21.5,21.75,9259,22.925,22.782741276702307
4/11/2001,22.25,22.25,22.0,22.25,10210,22.75,22.685879226392796
4/12/2001,22.25,23.5,22.25,23.5,13463,22.75,22.83390118523047
4/17/2001,23.75,23.75,22.75,23.0,10924,22.7,22.864100969734018
4/18/2001,23.5,24.5,23.5,24.25,15008,22.775,23.11608261160056
4/19/2001,25.0,25.25,24.0,24.25,21214,22.825,23.322249409491366
4/20/2001,24.25,24.5,23.0,23.25,6531,22.825,23.309113153220206
4/23/2001,23.0,23.25,22.75,22.75,5760,22.9,23.207456216271076
4/24/2001,22.5,23.5,22.5,23.5,11268,23.025,23.26064599513088
4/25/2001,23.0,23.25,22.75,23.25,9045,23.175,23.258710359652536
4/26/2001,23.5,23.75,23.0,23.0,10453,23.3,23.211672112442983
4/27/2001,22.75,23.0,22.5,22.75,4013,23.35,23.12773172836244
4/30/2001,22.75,23.25,22.75,22.75,8940,23.275,23.05905323229654
5/2/2001,23.0,23.5,22.75,22.75,8604,23.25,23.002861735515353
5/3/2001,23.0,23.0,22.75,23.0,8117,23.125,23.002341419967102
5/4/2001,22.75,23.25,22.75,23.0,6157,23.0,23.001915707245807
5/9/2001,23.0,23.25,22.75,23.25,4222,23.0,23.047021942292023
5/10/2001,23.25,24.25,23.0,24.0,21166,23.125,23.220290680057108
5/11/2001,24.0,24.0,23.0,23.0,14600,23.075,23.18023782913763
5/14/2001,23.0,23.25,23.0,23.25,4698,23.075,23.192921860203516
5/15/2001,23.25,23.5,23.0,23.5,2001,23.125,23.24875424925742
5/16/2001,23.5,23.5,23.0,23.0,5464,23.15,23.20352620393789
5/17/2001,23.25,23.25,22.75,22.75,5507,23.15,23.121066894131
5/18/2001,23.0,23.0,23.0,23.0,3092,23.175,23.09905473156173
5/21/2001,22.75,23.0,22.5,22.75,6252,23.15,23.035590234914142
5/22/2001,22.75,23.25,22.75,23.0,4410,23.15,23.02911928311157
5/23/2001,23.25,24.0,23.25,23.75,11753,23.2,23.160188504364008
5/24/2001,24.0,24.0,23.75,24.0,4535,23.2,23.31288150357055
5/25/2001,24.0,24.75,23.75,23.75,14198,23.275,23.392357593830447
5/28/2001,23.75,24.5,23.75,24.5,7374,23.4,23.59374712222491
5/29/2001,24.5,24.5,23.0,23.0,16591,23.35,23.485793100002198
5/30/2001,23.25,23.5,22.0,22.25,30624,23.275,23.261103445456342
5/31/2001,22.0,22.75,21.75,22.25,22098,23.225,23.077266455373373
6/1/2001,22.25,22.25,22.0,22.0,14018,23.125,22.881399827123666
6/4/2001,22.0,22.25,21.5,21.5,21051,23.0,22.63023622219209
6/5/2001,21.75,21.75,20.5,20.75,24262,22.775,22.288375090884436
6/6/2001,21.0,21.0,20.0,20.0,27983,22.4,21.87230689254181
6/7/2001,20.25,20.5,20.0,20.25,10572,22.025,21.577342002988754
6/8/2001,20.5,20.5,20.0,20.5,13739,21.7,21.38146163880898
6/11/2001,20.25,20.5,20.25,20.25,3846,21.275,21.17574134084371
6/12/2001,20.5,20.75,20.25,20.25,18169,21.0,21.007424733417583
6/13/2001,20.5,21.75,20.5,21.75,23546,20.95,21.142438418250748
6/14/2001,21.5,21.5,21.0,21.0,20074,20.825,21.116540524023335
6/15/2001,20.75,21.75,20.75,21.5,20100,20.775,21.186260428746365
6/18/2001,21.5,21.75,20.75,20.75,14059,20.7,21.10694035079248
6/19/2001,20.75,21.25,20.5,20.75,4870,20.7,21.042042105193847
6/20/2001,21.25,21.25,20.75,20.75,1269,20.775,20.988943540613146
6/21/2001,21.0,21.0,20.25,20.25,15495,20.775,20.854590169592573
6/22/2001,20.25,20.75,20.25,20.5,10577,20.775,20.790119229666647
6/25/2001,20.75,20.75,20.5,20.75,3476,20.825,20.782824824272712
6/26/2001,20.75,21.0,20.5,20.5,5555,20.85,20.7314021289504
6/27/2001,20.75,20.75,20.5,20.75,3043,20.75,20.734783560050328
