,Date,Open,High,Low,Close,Volume,RSI,Signal
321,4/23/2001,23.0,23.25,22.75,22.75,5760,42.88365231964215,-1
322,4/24/2001,22.5,23.5,22.5,23.5,11268,48.15607167693176,-1
323,4/25/2001,23.0,23.25,22.75,23.25,9045,46.611507028715984,-1
324,4/26/2001,23.5,23.75,23.0,23.0,10453,45.05523683887822,-1
325,4/27/2001,22.75,23.0,22.5,22.75,4013,43.49144002121508,-1
326,4/30/2001,22.75,23.25,22.75,22.75,8940,43.49144002121508,-1
327,5/2/2001,23.0,23.5,22.75,22.75,8604,43.49144002121507,-1
328,5/3/2001,23.0,23.0,22.75,23.0,8117,45.839306082771834,-1
329,5/4/2001,22.75,23.25,22.75,23.0,6157,45.83930608277183,-1
330,5/9/2001,23.0,23.25,22.75,23.25,4222,48.329160542769905,-1
331,5/10/2001,23.25,24.25,23.0,24.0,21166,55.011080151102405,-1
332,5/11/2001,24.0,24.0,23.0,23.0,14600,46.395993869569146,-1
333,5/14/2001,23.0,23.25,23.0,23.25,4698,48.56467470539238,-1
334,5/15/2001,23.25,23.5,23.0,23.5,2001,50.71212524129508,-1
335,5/16/2001,23.5,23.5,23.0,23.0,5464,46.528123160954706,-1
336,5/17/2001,23.25,23.25,22.75,22.75,5507,44.5490004068606,-1
337,5/18/2001,23.0,23.0,23.0,23.0,3092,46.97784247579166,-1
338,5/21/2001,22.75,23.0,22.5,22.75,6252,44.86167486036055,-1
339,5/22/2001,22.75,23.25,22.75,23.0,4410,47.41274378044938,-1
340,5/23/2001,23.25,24.0,23.25,23.75,11753,54.25114788930231,-1
341,5/24/2001,24.0,24.0,23.75,24.0,4535,56.29149308415879,-1
342,5/25/2001,24.0,24.75,23.75,23.75,14198,53.71174446278186,-1
343,5/28/2001,23.75,24.5,23.75,24.5,7374,59.68136085423269,-1
344,5/29/2001,24.5,24.5,23.0,23.0,16591,46.70732053753223,-1
345,5/30/2001,23.25,23.5,22.0,22.25,30624,41.812897767377386,-1
346,5/31/2001,22.0,22.75,21.75,22.25,22098,41.812897767377386,-1
347,6/1/2001,22.25,22.25,22.0,22.0,14018,40.18499465597731,-1
348,6/4/2001,22.0,22.25,21.5,21.5,21051,37.07596127124541,-1
349,6/5/2001,21.75,21.75,20.5,20.75,24262,32.95702211740209,-1
350,6/6/2001,21.0,21.0,20.0,20.0,27983,29.43536502585718,-1
351,6/7/2001,20.25,20.5,20.0,20.25,10572,32.04213238416037,1
352,6/8/2001,20.5,20.5,20.0,20.5,13739,34.6422727864355,1
353,6/11/2001,20.25,20.5,20.25,20.25,3846,33.27135252300002,1
354,6/12/2001,20.5,20.75,20.25,20.25,18169,33.27135252300002,1
355,6/13/2001,20.5,21.75,20.5,21.75,23546,47.67924446001853,1
356,6/14/2001,21.5,21.5,21.0,21.0,20074,42.71325824729829,1
357,6/15/2001,20.75,21.75,20.75,21.5,20100,46.69896387939677,1
358,6/18/2001,21.5,21.75,20.75,20.75,14059,41.98075380787729,1
359,6/19/2001,20.75,21.25,20.5,20.75,4870,41.98075380787729,1
360,6/20/2001,21.25,21.25,20.75,20.75,1269,41.98075380787729,1
